"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05016","LinDA","Pro-inflammatory","Pro-survival","0.000409376361996373","BH",0.00882433491414404
"ko00071","LinDA","Pro-inflammatory","Pro-survival","0.69724514187535","BH",0.996653130435666
"ko00072","LinDA","Pro-inflammatory","Pro-survival","0.223286136409474","BH",0.7314450012035
"ko05219","LinDA","Pro-inflammatory","Pro-survival","0.234347593368061","BH",0.7314450012035
"ko05215","LinDA","Pro-inflammatory","Pro-survival","0.730676257773553","BH",0.996653130435666
"ko05211","LinDA","Pro-inflammatory","Pro-survival","0.148269342067769","BH",0.653733008207891
"ko05210","LinDA","Pro-inflammatory","Pro-survival","0.000376486911816229","BH",0.00882433491414404
"ko01055","LinDA","Pro-inflammatory","Pro-survival","0.567283809488703","BH",0.996653130435666
"ko04910","LinDA","Pro-inflammatory","Pro-survival","0.63329999159063","BH",0.996653130435666
"ko00531","LinDA","Pro-inflammatory","Pro-survival","0.68853099096309","BH",0.996653130435666
"ko00360","LinDA","Pro-inflammatory","Pro-survival","0.174395668446509","BH",0.674592195466908
"ko00633","LinDA","Pro-inflammatory","Pro-survival","0.964781208908628","BH",0.996653130435666
"ko00630","LinDA","Pro-inflammatory","Pro-survival","0.866542913571782","BH",0.996653130435666
"ko00363","LinDA","Pro-inflammatory","Pro-survival","0.173253206138002","BH",0.674592195466908
"ko00364","LinDA","Pro-inflammatory","Pro-survival","0.20636645130159","BH",0.710952097887946
"ko04115","LinDA","Pro-inflammatory","Pro-survival","0.000376486911816229","BH",0.00882433491414404
"ko00121","LinDA","Pro-inflammatory","Pro-survival","0.926654743656344","BH",0.996653130435666
"ko04914","LinDA","Pro-inflammatory","Pro-survival","0.730676257773553","BH",0.996653130435666
"ko00430","LinDA","Pro-inflammatory","Pro-survival","0.949876360353848","BH",0.996653130435666
"ko02010","LinDA","Pro-inflammatory","Pro-survival","0.411152208739846","BH",0.996653130435666
"ko00130","LinDA","Pro-inflammatory","Pro-survival","0.00408651521945688","BH",0.0566274251839025
"ko03050","LinDA","Pro-inflammatory","Pro-survival","0.206402998195898","BH",0.710952097887946
