"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00100","edgeR","Pro-inflammatory","Pro-survival","6.84410343566668e-24","BH",1.32775606651934e-21
"ko05016","edgeR","Pro-inflammatory","Pro-survival","0.0469481502482622","BH",0.395997441224473
"ko00071","edgeR","Pro-inflammatory","Pro-survival","0.990778941164982","BH",0.994105367800753
"ko00072","edgeR","Pro-inflammatory","Pro-survival","0.38680324122574","BH",0.994105367800753
"ko05219","edgeR","Pro-inflammatory","Pro-survival","0.016290398451991","BH",0.183804312257874
"ko05215","edgeR","Pro-inflammatory","Pro-survival","0.935600472449027","BH",0.994105367800753
"ko05211","edgeR","Pro-inflammatory","Pro-survival","0.576694326074813","BH",0.994105367800753
"ko05210","edgeR","Pro-inflammatory","Pro-survival","1.57091486599363e-09","BH",3.38619426669738e-08
"ko01055","edgeR","Pro-inflammatory","Pro-survival","0.728114724640868","BH",0.994105367800753
"ko04910","edgeR","Pro-inflammatory","Pro-survival","0.658086421404294","BH",0.994105367800753
"ko00531","edgeR","Pro-inflammatory","Pro-survival","0.534690488580823","BH",0.994105367800753
"ko00360","edgeR","Pro-inflammatory","Pro-survival","0.668676024446175","BH",0.994105367800753
"ko00633","edgeR","Pro-inflammatory","Pro-survival","0.805512405734164","BH",0.994105367800753
"ko00630","edgeR","Pro-inflammatory","Pro-survival","0.960176778800937","BH",0.994105367800753
"ko00363","edgeR","Pro-inflammatory","Pro-survival","0.54080525378704","BH",0.994105367800753
"ko00364","edgeR","Pro-inflammatory","Pro-survival","0.0170540083538234","BH",0.183804312257874
"ko04115","edgeR","Pro-inflammatory","Pro-survival","1.57091486599363e-09","BH",3.38619426669738e-08
"ko00121","edgeR","Pro-inflammatory","Pro-survival","0.856406469734151","BH",0.994105367800753
"ko04914","edgeR","Pro-inflammatory","Pro-survival","0.935600472449027","BH",0.994105367800753
"ko00430","edgeR","Pro-inflammatory","Pro-survival","0.917412402639045","BH",0.994105367800753
"ko02010","edgeR","Pro-inflammatory","Pro-survival","0.630878701947626","BH",0.994105367800753
"ko00130","edgeR","Pro-inflammatory","Pro-survival","0.272893251422623","BH",0.994105367800753
"ko03050","edgeR","Pro-inflammatory","Pro-survival","2.46163899200917e-11","BH",1.19389491112445e-09
"ko00361","edgeR","Pro-inflammatory","Pro-survival","0.379656462006979","BH",0.994105367800753
"ko00040","edgeR","Pro-inflammatory","Pro-survival","0.689902559059192","BH",0.994105367800753
"ko00730","edgeR","Pro-inflammatory","Pro-survival","0.71796069918879","BH",0.994105367800753
"ko00362","edgeR","Pro-inflammatory","Pro-survival","0.570339907454042","BH",0.994105367800753
"ko01040","edgeR","Pro-inflammatory","Pro-survival","0.915628089550136","BH",0.994105367800753
"ko00603","edgeR","Pro-inflammatory","Pro-survival","0.755707692544131","BH",0.994105367800753
"ko03018","edgeR","Pro-inflammatory","Pro-survival","0.972682966006331","BH",0.994105367800753
"ko00281","edgeR","Pro-inflammatory","Pro-survival","0.135577879010586","BH",0.751488815087248
"ko00280","edgeR","Pro-inflammatory","Pro-survival","0.940548635258119","BH",0.994105367800753
"ko03013","edgeR","Pro-inflammatory","Pro-survival","0.876758000121193","BH",0.994105367800753
"ko04626","edgeR","Pro-inflammatory","Pro-survival","0.929319587274176","BH",0.994105367800753
"ko05200","edgeR","Pro-inflammatory","Pro-survival","0.675872159836456","BH",0.994105367800753
"ko00601","edgeR","Pro-inflammatory","Pro-survival","1.87896985216004e-09","BH",3.64520151319048e-08
"ko00312","edgeR","Pro-inflammatory","Pro-survival","0.299626263832179","BH",0.994105367800753
"ko05020","edgeR","Pro-inflammatory","Pro-survival","0.867875867991942","BH",0.994105367800753
"ko05143","edgeR","Pro-inflammatory","Pro-survival","0.0289994162921134","BH",0.255722125485
"ko00523","edgeR","Pro-inflammatory","Pro-survival","0.81328249108462","BH",0.994105367800753
"ko00520","edgeR","Pro-inflammatory","Pro-survival","0.853762806348523","BH",0.994105367800753
"ko00521","edgeR","Pro-inflammatory","Pro-survival","0.864666940297078","BH",0.994105367800753
"ko05146","edgeR","Pro-inflammatory","Pro-survival","0.00205036725416457","BH",0.0305977882544559
"ko05145","edgeR","Pro-inflammatory","Pro-survival","1.57091486599363e-09","BH",3.38619426669738e-08
"ko00052","edgeR","Pro-inflammatory","Pro-survival","0.712503621405906","BH",0.994105367800753
"ko00053","edgeR","Pro-inflammatory","Pro-survival","0.909307171770593","BH",0.994105367800753
