"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05010","limma voom","Pro-inflammatory","Pro-survival","0.000377824643017911","BH",0.0146595961490949
"ko05012","limma voom","Pro-inflammatory","Pro-survival","6.91729621286469e-05","BH",0.00805880669388044
"ko00980","limma voom","Pro-inflammatory","Pro-survival","0.810993604407228","BH",0.884263726350301
"ko00410","limma voom","Pro-inflammatory","Pro-survival","0.885150358430455","BH",0.933256356171241
"ko00983","limma voom","Pro-inflammatory","Pro-survival","0.0232363854577179","BH",0.112961566284298
"ko05150","limma voom","Pro-inflammatory","Pro-survival","0.97364171437476","BH",0.978686490096909
"ko00791","limma voom","Pro-inflammatory","Pro-survival","0.0179016288921361","BH",0.0964698890298445
"ko00790","limma voom","Pro-inflammatory","Pro-survival","0.0831790655268485","BH",0.240846846450875
"ko00020","limma voom","Pro-inflammatory","Pro-survival","0.0202383193303422","BH",0.106114431083416
"ko00710","limma voom","Pro-inflammatory","Pro-survival","0.249186184879198","BH",0.461684204999603
"ko02060","limma voom","Pro-inflammatory","Pro-survival","0.915597636114489","BH",0.94987134441824
"ko00340","limma voom","Pro-inflammatory","Pro-survival","0.946041801548457","BH",0.960623468538276
"ko00785","limma voom","Pro-inflammatory","Pro-survival","0.184132039757887","BH",0.392545227615715
"ko00550","limma voom","Pro-inflammatory","Pro-survival","0.236792999873327","BH",0.461430001837864
"ko00650","limma voom","Pro-inflammatory","Pro-survival","0.0575625149961209","BH",0.214032806243243
"ko02030","limma voom","Pro-inflammatory","Pro-survival","0.638068928064465","BH",0.748188808206333
"ko03320","limma voom","Pro-inflammatory","Pro-survival","0.0614976959172343","BH",0.215285886322721
"ko04612","limma voom","Pro-inflammatory","Pro-survival","0.608471519734788","BH",0.739907269686556
"ko04621","limma voom","Pro-inflammatory","Pro-survival","0.23785051641127","BH",0.461430001837864
"ko04622","limma voom","Pro-inflammatory","Pro-survival","0.121793377589213","BH",0.310893621740886
"ko00910","limma voom","Pro-inflammatory","Pro-survival","0.751597320726378","BH",0.837987817361594
"ko00460","limma voom","Pro-inflammatory","Pro-survival","0.214227920864152","BH",0.437475964712058
"ko00830","limma voom","Pro-inflammatory","Pro-survival","0.520323670207424","BH",0.691978424785427
"ko00780","limma voom","Pro-inflammatory","Pro-survival","0.0828785950214862","BH",0.240846846450875
"ko00511","limma voom","Pro-inflammatory","Pro-survival","0.614046754739874","BH",0.739907269686556
"ko00970","limma voom","Pro-inflammatory","Pro-survival","0.516131392417016","BH",0.691978424785427
"ko00030","limma voom","Pro-inflammatory","Pro-survival","0.00578127428754722","BH",0.0545758653118521
"ko04972","limma voom","Pro-inflammatory","Pro-survival","0.0119352068902904","BH",0.0765628044554084
"ko00230","limma voom","Pro-inflammatory","Pro-survival","0.55693831439443","BH",0.720306886616796
"ko04122","limma voom","Pro-inflammatory","Pro-survival","0.203751732649888","BH",0.420508895043386
"ko00540","limma voom","Pro-inflammatory","Pro-survival","0.00362189115076711","BH",0.0439154302030512
"ko05014","limma voom","Pro-inflammatory","Pro-survival","0.015322956675007","BH",0.0874309880868046
"ko00660","limma voom","Pro-inflammatory","Pro-survival","0.171738764173478","BH",0.37718491109582
"ko03020","limma voom","Pro-inflammatory","Pro-survival","0.0296885876349314","BH",0.137133000028016
"ko00982","limma voom","Pro-inflammatory","Pro-survival","0.811334759228627","BH",0.884263726350301
"ko03010","limma voom","Pro-inflammatory","Pro-survival","0.600184140141288","BH",0.739907269686556
"ko00140","limma voom","Pro-inflammatory","Pro-survival","0.244646899705013","BH",0.461684204999603
"ko05100","limma voom","Pro-inflammatory","Pro-survival","0.540331704570344","BH",0.703519132125146
"ko00860","limma voom","Pro-inflammatory","Pro-survival","0.539885643984396","BH",0.703519132125146
"ko05410","limma voom","Pro-inflammatory","Pro-survival","0.0138280156204632","BH",0.0812919706172685
"ko00330","limma voom","Pro-inflammatory","Pro-survival","0.341309914114179","BH",0.533984865630248
"ko00908","limma voom","Pro-inflammatory","Pro-survival","0.178230064930503","BH",0.384184806627973
"ko04930","limma voom","Pro-inflammatory","Pro-survival","0.133638226346121","BH",0.321435447467652
"ko03430","limma voom","Pro-inflammatory","Pro-survival","0.09326608315764","BH",0.262226378733075
"ko00906","limma voom","Pro-inflammatory","Pro-survival","0.0773072390972331","BH",0.238057212458146
"ko00900","limma voom","Pro-inflammatory","Pro-survival","0.0458445549586105","BH",0.187754654222408
"ko00903","limma voom","Pro-inflammatory","Pro-survival","0.489524292085569","BH",0.678388765354744
"ko00471","limma voom","Pro-inflammatory","Pro-survival","0.51932148412985","BH",0.691978424785427
"ko00472","limma voom","Pro-inflammatory","Pro-survival","0.268653556912825","BH",0.463622485729128
"ko00473","limma voom","Pro-inflammatory","Pro-survival","0.494695363391666","BH",0.678388765354744
"ko05111","limma voom","Pro-inflammatory","Pro-survival","0.0437056214864719","BH",0.187754654222408
"ko04210","limma voom","Pro-inflammatory","Pro-survival","0.0469330719578563","BH",0.187754654222408
"ko00240","limma voom","Pro-inflammatory","Pro-survival","0.292558973128274","BH",0.476161836007348
"ko04011","limma voom","Pro-inflammatory","Pro-survival","0.308171632155484","BH",0.486059322261495
"ko00944","limma voom","Pro-inflammatory","Pro-survival","0.355523817714089","BH",0.545079918335091
"ko04113","limma voom","Pro-inflammatory","Pro-survival","0.0044761727270147","BH",0.0458153620675943
"ko04070","limma voom","Pro-inflammatory","Pro-survival","0.152931096077075","BH",0.344984100452937
"ko03420","limma voom","Pro-inflammatory","Pro-survival","0.109518526384798","BH",0.303522773123583
"ko00770","limma voom","Pro-inflammatory","Pro-survival","0.377865079474519","BH",0.559778672442012
"ko02040","limma voom","Pro-inflammatory","Pro-survival","0.777654370695071","BH",0.857187204061612
"ko00670","limma voom","Pro-inflammatory","Pro-survival","0.227593900461338","BH",0.459929340515621
"ko04920","limma voom","Pro-inflammatory","Pro-survival","0.0731459612891571","BH",0.236505274834941
"ko00930","limma voom","Pro-inflammatory","Pro-survival","0.387321767508851","BH",0.564965585689602
"ko04112","limma voom","Pro-inflammatory","Pro-survival","0.121573876322837","BH",0.310893621740886
