"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00253","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0211068748187322,"BH",0.0682851568238646
"ko03060","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0100638573543397,"BH",0.0507113851101792
"ko00380","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0235900733433167,"BH",0.0709530888155574
"ko00500","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0049957279583766,"BH",0.0452119292943344
"ko05120","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0663828642107852,"BH",0.13345363375018
"ko04964","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00557017037560128,"BH",0.0454489886450879
"ko04962","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.609522488793223,"BH",0.668064196756414
"ko00625","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.000863544968739082,"BH",0.0368815120627325
"ko00624","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.426104591672796,"BH",0.517940979283079
"ko00627","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00693809057659193,"BH",0.0480710561378155
"ko00626","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0342964556338646,"BH",0.0878138917270108
"ko00621","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00903173642554314,"BH",0.0489740750371717
"ko00620","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00645532998552517,"BH",0.0472578874412031
"ko00623","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.521655815451748,"BH",0.592861355438144
"ko00622","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00679938425774166,"BH",0.0479665653091593
"ko00270","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0165908667256771,"BH",0.060728832920403
"ko00940","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0702163068470228,"BH",0.139712446444332
"ko00941","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.470557311586804,"BH",0.546635439807425
"ko01053","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.947637279276478,"BH",0.947637279276478
"ko00100","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00429495862431006,"BH",0.0452119292943344
"ko05016","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0724654907662024,"BH",0.143452093965748
"ko00071","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00674475817136254,"BH",0.0479665653091593
